atom,channel,delta_Ha,osc,is_core,source
Sn,rpa_001,0.184194472249,0.001145053647,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_002,0.233026782112,0.009361877635,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_003,0.233026784728,0.009361890696,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_004,0.241208490962,0.227068321783,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_005,0.241208501584,0.227068312523,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_006,0.251224218157,0.037764090128,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_011,0.266302186589,0.000425751748,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_012,0.266302219795,0.000425761464,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_014,0.333694918644,1.288467701754,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
Sn,rpa_015,0.333694921871,1.288467668819,true,"PySCF_PSP_{'Sn': [[2, 2], 0.605, 1, [6.2667823], 3, [0.56643732, 3, [[1.57118124, 1.47004118, -1.17857669], [1.47004118, -3.81477013, 3.04307193], [-1.17857669, 3.04307193, -2.41536347]]], [0.64184959, 2, [[0.52689769, 0.40325781], [0.40325781, -0.47714107]]], [0.99087302, 1, [[0.19876639]]]]}_TDDFT_PBE"
