atom,channel,delta_Ha,osc,alpha0_contribution,alpha0_fraction,single_channel_c6,single_channel_c6_fraction,cross_inclusive_c6,cross_inclusive_c6_fraction,is_residual
Sn,rpa_024,0.259339014285,1.24482027247,18.508487959603276,0.27889938229255246,66.63018218180976,0.08017760204777755,235.28652138127987,0.2831255815425983,False
Sn,rpa_022,0.243399947201,0.911365509656,15.383375088329833,0.23180790451786823,43.20012485261732,0.05198368525237279,189.37224124234925,0.22787589197632305,False
Sn,rpa_023,0.24340585997,0.911307904532,15.381655420097447,0.23178199130395213,43.191516129222485,0.05197332618121481,189.35343842259203,0.22785326611893372,False
Sn,rpa_005,0.174831022874,0.131896943276,4.315168252053651,0.06502409935446683,2.4416040105952344,0.0029380372124092127,44.217684402119886,0.053208137624382146,False
Sn,rpa_004,0.174813870361,0.131784177777,4.312325107271074,0.06498125677730117,2.4381484320805935,0.002933879036790906,44.185976052359294,0.05316998225146482,False
Sn,rpa_072,0.43913836938,0.415261758534,2.153372531812882,0.03244858630695165,1.5272178315947254,0.0018377356857250272,34.43973180391937,0.0414421065767501,False
Sn,rpa_073,0.448018427479,0.361664034047,1.8018289789875006,0.027151271910123443,1.0908983267779992,0.0013127025779447919,29.03270350553883,0.0349357073898816,False
Sn,rpa_074,0.448022179992,0.361606780265,1.8015135593125546,0.0271465189366392,1.0905255591336693,0.001312254018225087,29.027711041536854,0.03492969984526922,False
Sn,rpa_007,0.18052484134,0.012801772219,0.39282231580744026,0.00591933287411412,0.0208925061456038,2.514042418422621e-05,4.102108827094823,0.004936160135327893,False
Sn,rpa_006,0.180524782087,0.012797582089,0.39269399947452927,0.005917399310115536,0.020878852349386575,2.5123994263074876e-05,4.100768074475047,0.004934546777440028,False
